id/url,text,user.id_str,shared_url,retweet_count,favorite_count,total
1365405084134342663,"If Amber Heard has been fired from Aquaman 2, there's only one person who should be replacing her... https://t.co/o5y1UZWguw",1.273625933354799e+18,https://twitter.com/ViciousRevenant/status/1365405084134342663/photo/1,465,3817,4282
1385246188501454853,#HappyBirthdayAmberHeard I’ll say it again fuck amber heard abusing ass. Deadass evidence of her saying she abused someone and people still siding with her... https://t.co/YIpUHXfo8c,1.1519526823552532e+18,https://twitter.com/kujo0817/status/1385246188501454853/photo/1,314,3888,4202
1383079433981079560,"OMG ITS HAPPENING! JUST WHEN WE THOUGHT TODAY COULDNT GET BETTER.😭✌

THE TRUTH ARRIVED AND SHE WANTS HER JUSTICE.

#JusticeForJohnnyDepp 
#JohnnyDepp 

https://t.co/w6hnGct4dL",8.052070702702592e+17,https://www.dailymail.co.uk/news/article-9474979/Johnny-Depp-says-police-bodycam-footage-PROVES-Amber-Heard-lying.html,603,3359,3962
1384587848062365698,a 4/20 throwback to my Pineapple Express days https://t.co/hMTZVNwdqu,8.070035676052275e+17,https://twitter.com/realamberheard/status/1384587848062365698/photo/1,209,3601,3810
1383087790259384331,"THE LYRICS!!!

""For better, for worse. The worse you've got. I WILL ALWAYS BE ME. YOU CANNOT."" 🔥🔥🔥

#JohnnyDepp #JusticeForJohnnyDepp https://t.co/hUh3JwFt5K",415278846.0,https://twitter.com/Marussia15/status/1383087790259384331/video/1,463,3263,3726
1347269067812560906,"Is anyone surprised?
#AmberHeardIsALiar #JusticeForJohnnyDepp https://t.co/7zNQ1GIiUP",9.323102617379512e+17,https://twitter.com/tralalalumbum/status/1347269067812560906/photo/1,409,3130,3539
1383118384116736001,"do you also find it weird that the ""impressive witness"" Josh Drew is walking around in socks although there still might be broken glass laying on the floor?

yep, you guessed it right: Imo there has never been any broken glass

#JusticeForJohnnyDepp https://t.co/PGQZhyo4U0",1.0970723276433162e+18,https://twitter.com/KathsPaperwork/status/1383118384116736001/photo/1,402,3015,3417
1347302106160627713,Johnny Depp had to go through years of media torture with Amber Heard’s lies. Give the man some peace finally and lock that hoe up. #AmberHeardIsALiar https://t.co/ck7qh0cZWa,1.2888182741894308e+18,https://twitter.com/infinitumxnihil/status/1289639278931259400/video/1,421,2991,3412
1366040019257991171,Amber Heard at the DC Studios today https://t.co/a05CEDFlxo,1.267633985594823e+18,https://twitter.com/vitormaroso/status/1366040019257991171/photo/1,269,3021,3290
1365989707197407233,"I hope it’s true that Amber Heard is fired.

She abused Johnny Depp, she lied and said she was the victim, she hijacked movements, she stole a rape victims story, she told the whole world that no one would believe him cause he’s a man.

#JusticeForJohnnyDepp https://t.co/MBeJkhijgH",47953309.0,https://twitter.com/LittleNashyYup/status/1365989707197407233/photo/1,469,2625,3094
1347018584938188801,"Mais um derrota! O processo movido por difamação de Johnny Depp contra a atriz Amber Heard teve o pedido recusado por um Juiz do EUA, e agora o ex-ator terá que pagar US$ 100 milhões para atriz por tentar sabotar a carreira da Amber criando notificas falsas em tabloides na mídia. https://t.co/mLoE3SEj3G",8.841859093689016e+17,https://twitter.com/GN_GeekNation/status/1347018584938188801/photo/1,249,2672,2921
1383088404519337986,"No wine stains on the floor, no kicked in doors...

What a messy crime scene indeed!

#JusticeForJohnnyDepp https://t.co/ZHyTRWXsiD",9.53077628059226e+17,https://twitter.com/An_elf_pirate/status/1383088404519337986/video/1,391,2520,2911
1366024525100576771,"Amber Heard said 'Tell the world Johnny, tell them-I Johnny Depp, a man, I'm a victim too of domestic violence-&amp; see how many people believe or side with you'

And She never donated the settlement
#AmberHeardIsALiar 
#JusticeforJohnnyDepp #JohnnyDeppIsInnocent #MenCanBeVictimsToo https://t.co/oU1lT6PpSw",3309371255.0,https://twitter.com/LauraBockov/status/1366024525100576771/photo/1,560,2348,2908
1347384203692806146,"once again the world owes Johnny Depp a huge apology 

#JusticeForJohnnyDepp 
#AmberHeardIsALiar https://t.co/KebLbjwFr1",325909651.0,https://twitter.com/hometoharryx/status/1347384203692806146/photo/1,424,2475,2899
1347298452221341696,"Amber Heard steals from children with cancer

Johnny Depp tries to make them smile and holds them #JusticeForJohnnyDepp #AmberHeardIsALiar https://t.co/wn6k3V4nGt",4583281223.0,https://twitter.com/MyGrindelwald/status/1347298452221341696/photo/1,478,2307,2785
